time,avg_speed,congestion_score,queue_length,throughput,trip_completion,travel_time,waiting_time,ambulance_delay,incident_delay,reroute_count
242,0.4259403412988535,0.9722943722943723,54.0,0.0,0.0,0.0,101.20779220779221,0.0,506.038961038961,45
243,0.4179400478938035,0.9722943722943723,54.0,0.0,0.0,0.0,102.18008658008657,0.0,510.9004329004329,45
244,0.42446150993832177,0.9722943722943723,54.0,0.0,0.0,0.0,103.15238095238094,0.0,515.7619047619048,45
245,0.42298441078140125,0.9722943722943723,54.0,0.0,0.0,0.0,104.12467532467534,0.0,520.6233766233767,45
246,0.43196679945155836,0.9722943722943723,54.0,0.0,0.0,0.0,105.0969696969697,0.0,525.4848484848485,45
247,0.42432090322050425,0.9722943722943723,54.0,0.0,0.0,0.0,106.06926406926407,0.0,530.3463203463203,45
248,0.42903568040577145,0.9722943722943723,54.0,0.0,0.0,0.0,107.04155844155844,0.0,535.2077922077922,45
249,0.4299615528701454,0.9722943722943723,54.0,0.0,0.0,0.0,108.01385281385282,0.0,540.0692640692641,45
250,0.42632939493140914,0.9722943722943723,54.0,0.0,0.0,0.0,108.98614718614718,0.0,544.9307359307359,45
251,0.4160118351157561,0.9722943722943723,54.0,0.0,0.0,0.0,109.95844155844154,0.0,549.7922077922078,45
252,0.4291116201309729,0.9722943722943723,54.0,0.0,0.0,0.0,110.9307359307359,0.0,554.6536796536797,45
253,0.3737238208006423,0.9722943722943723,54.0,0.0,0.0,0.0,111.9030303030303,0.0,559.5151515151515,45
254,0.30873787490997256,0.9722943722943723,54.0,0.0,0.0,0.0,112.87532467532466,0.0,564.3766233766233,45
255,0.2826597555804132,0.9722943722943723,54.0,0.0,0.0,0.0,113.84761904761903,0.0,569.2380952380952,45
